"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","shift_removed","12 squares",35,31.0740740740741,27,4.74686881351945,20,36
"exp1","shift_removed","12 squares",36,31.75,20,4.253481546117,21,36
"exp1","shift_removed","12 squares",37,32.65,20,3.71731368768249,22,36
"exp1","shift_removed","12 squares",38,31.6666666666667,9,4.18330013267038,24,36
"exp1","shift_removed","12 squares",39,33.3571428571429,14,2.20513885336896,29,36
"exp1","shift_removed","12 squares",40,32,6,5.96657355607052,20,36
"exp1","shift_removed","12 squares",41,34.3333333333333,6,1.50554530541816,32,36
"exp1","shift_removed","12 squares",42,34.25,12,1.91287503750007,30,36
"exp1","shift_removed","12 squares",43,28.5,2,0.707106781186548,28,29
"exp1","shift_removed","12 squares",44,33.5714285714286,7,2.93582145558064,28,36
"exp1","shift_removed","12 squares",45,34,2,0,34,34
"exp1","shift_removed","12 squares",46,35,1,NA,35,35
"exp1","shift_removed","12 squares",48,27,1,NA,27,27
