"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"56b53292a9d33a000c8981a6",54,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",55,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",56,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",57,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",58,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",59,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",60,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",61,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",62,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",63,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",64,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",65,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",66,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",67,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",68,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",69,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",70,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",71,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",72,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",73,2,4,2,"experience",2,"short_exposure"
"56b53292a9d33a000c8981a6",74,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",75,10,5.9464274989274,10,"experience",10,"short_exposure"
"56b53292a9d33a000c8981a6",76,10,5.9464274989274,10,"experience",10,"short_exposure"
