"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.69af386aa115c4cb66894fb8","average","7","middle",31,2.67738693467337,1.15483870967742
"average.69b4b502fec38544c443c643","average","3","extreme",34,7.62875035181537,0.291176470588236
"average.69b4b502fec38544c443c643","average","3","middle",35,2.12903622693096,-0.0914285714285713
"average.69b4b502fec38544c443c643","average","5","extreme",39,8.21977671451356,1.68974358974359
"average.69b4b502fec38544c443c643","average","5","middle",31,2.66004012964964,1.21612903225806
"average.69b4b502fec38544c443c643","average","7","extreme",38,7.89151347267691,2.35263157894737
"average.69b4b502fec38544c443c643","average","7","middle",32,2.93023325358852,0.69375
"average.69b702926fc53d9dd8eeaa52","average","3","extreme",29,7.93186402081978,2.07931034482759
"average.69b702926fc53d9dd8eeaa52","average","3","middle",41,2.43164979291302,0.451219512195121
"average.69b702926fc53d9dd8eeaa52","average","5","extreme",42,7.86091644204852,2.5952380952381
"average.69b702926fc53d9dd8eeaa52","average","5","middle",28,1.90394204851752,0.521428571428571
"average.69b702926fc53d9dd8eeaa52","average","7","extreme",41,7.73406580763921,-1.84390243902439
"average.69b702926fc53d9dd8eeaa52","average","7","middle",31,3.37986914181375,-0.790322580645162
"average.69b885c83f7ae2b8458c6624","average","3","extreme",35,8.40876093294461,-2.98285714285714
"average.69b885c83f7ae2b8458c6624","average","3","middle",31,2.77667873601053,0.503225806451613
"average.69b885c83f7ae2b8458c6624","average","5","extreme",33,7.6510667903525,-2.26969696969697
"average.69b885c83f7ae2b8458c6624","average","5","middle",33,2.72985466914038,-1.58484848484848
"average.69b885c83f7ae2b8458c6624","average","7","extreme",36,7.96366213151927,-0.261111111111111
"average.69b885c83f7ae2b8458c6624","average","7","middle",28,2.44150874635569,-0.125
"average.69b8c2e2a791bd09e0041dd7","average","3","extreme",31,7.82829493087558,1.26774193548387
"average.69b8c2e2a791bd09e0041dd7","average","3","middle",37,2.27341055341055,1.63243243243243
"average.69b8c2e2a791bd09e0041dd7","average","5","extreme",44,8.23774891774892,3.26818181818182
"average.69b8c2e2a791bd09e0041dd7","average","5","middle",27,3.13305114638448,2.1037037037037
"average.69b8c2e2a791bd09e0041dd7","average","7","extreme",35,7.57953741496599,3.11428571428571
"average.69b8c2e2a791bd09e0041dd7","average","7","middle",36,2.64251322751323,2.53611111111111
"average.69b9174a05fa2db6d0a8b4ff","average","3","extreme",46,7.73242236024845,-1.16739130434783
"average.69b9174a05fa2db6d0a8b4ff","average","3","middle",26,2.45630036630037,-1.52307692307692
"average.69b9174a05fa2db6d0a8b4ff","average","5","extreme",32,8.21848214285714,0.893749999999999
"average.69b9174a05fa2db6d0a8b4ff","average","5","middle",39,2.79869352869353,3.99230769230769
